1130805.00, 934.00,Buy at , 141.03
1130805.00, 934.00,Bought at , 141.02
1130805.00, 935.00,Sold, NetProfit,  73.00
1130805.00, 945.00,Buy at , 141.41
1130805.00, 959.00,Buy at , 140.91
1130805.00, 959.00,Bought at , 140.91
1130805.00,1004.00,Sold, NetProfit,  64.00
1130805.00,1005.00,Buy at , 140.11
1130805.00,1005.00,Bought at , 140.10
1130805.00,1010.00,Sold, NetProfit,  37.00
1130805.00,1036.00,Buy at , 141.31
1130805.00,1036.00,Bought at , 141.31
1130805.00,1039.00,Sold, NetProfit,  10.00
1130805.00,1204.00,Buy at , 141.38
1130805.00,1204.00,Bought at , 141.38
1130805.00,1207.00,Sold, NetProfit, -17.00
1130805.00,1209.00,Buy at , 140.93
1130805.00,1445.00,Buy at , 143.76
1130805.00,1446.00,Bought at , 143.76
1130805.00,1452.00,Sold, NetProfit, -26.00
1130805.00,1454.00,Buy at , 143.59
1130805.00,1455.00,Bought at , 143.59
1130805.00,1500.00,Sold, NetProfit, -53.00
1130806.00, 931.00,Buy at , 144.33
1130806.00, 931.00,Bought at , 144.33
1130806.00, 932.00,Sold, NetProfit,  20.00
1130806.00, 940.00,Buy at , 141.83
1130806.00, 940.00,Bought at , 141.83
1130806.00, 941.00,Sold, NetProfit,  93.00
1130806.00, 955.00,Buy at , 142.06
1130806.00, 955.00,Bought at , 142.06
1130806.00,1011.00,Sold, NetProfit,  66.00
1130806.00,1016.00,Buy at , 141.87
1130806.00,1016.00,Bought at , 141.87
1130806.00,1043.00,Sold, NetProfit, 139.00
1130806.00,1053.00,Buy at , 143.42
1130806.00,1054.00,Bought at , 143.42
1130806.00,1055.00,Sold, NetProfit, 112.00
1130806.00,1105.00,Buy at , 143.09
1130806.00,1105.00,Bought at , 143.09
1130806.00,1106.00,Sold, NetProfit,  85.00
1130806.00,1232.00,Buy at , 143.95
1130806.00,1312.00,Buy at , 145.22
1130806.00,1313.00,Bought at , 145.21
1130806.00,1325.00,Sold, NetProfit,  58.00
1130806.00,1328.00,Buy at , 144.90
1130806.00,1328.00,Bought at , 144.90
1130806.00,1341.00,Sold, NetProfit,  31.00
1130806.00,1342.00,Buy at , 144.65
1130806.00,1342.00,Bought at , 144.65
1130806.00,1342.00,Sold, NetProfit,   4.00
1130806.00,1344.00,Buy at , 144.10
1130806.00,1344.00,Bought at , 144.10
1130806.00,1346.00,Sold, NetProfit, -23.00
1130806.00,1420.00,Buy at , 143.60
1130806.00,1447.00,Buy at , 143.51
1130806.00,1448.00,Bought at , 143.51
1130806.00,1508.00,Sold, NetProfit, -32.00
1130807.00, 939.00,Buy at , 137.26
1130807.00, 943.00,Buy at , 136.80
1130807.00,1001.00,Buy at , 137.09
1130807.00,1014.00,Buy at , 136.56
1130807.00,1019.00,Buy at , 135.85
1130807.00,1019.00,Bought at , 135.85
1130807.00,1019.00,Sold, NetProfit, -67.00
1130807.00,1021.00,Buy at , 133.17
1130807.00,1021.00,Bought at , 133.17
1130807.00,1022.00,Sold, NetProfit,   6.00
1130807.00,1024.00,Buy at , 133.50
1130807.00,1024.00,Bought at , 133.50
1130807.00,1024.00,Sold, NetProfit,  79.00
1130807.00,1029.00,Buy at , 133.90
1130807.00,1113.00,Buy at , 134.25
1130807.00,1113.00,Bought at , 134.25
1130807.00,1118.00,Sold, NetProfit,  70.00
1130807.00,1140.00,Buy at , 132.69
1130807.00,1140.00,Bought at , 132.69
1130807.00,1143.00,Sold, NetProfit, 143.00
1130807.00,1153.00,Buy at , 133.51
1130807.00,1204.00,Buy at , 133.47
1130807.00,1205.00,Bought at , 133.47
1130807.00,1207.00,Sold, NetProfit, 216.00
1130807.00,1225.00,Buy at , 133.55
1130807.00,1225.00,Bought at , 133.51
1130807.00,1228.00,Sold, NetProfit, 289.00
1130807.00,1246.00,Buy at , 134.78
1130807.00,1246.00,Bought at , 134.75
1130807.00,1248.00,Sold, NetProfit, 262.00
1130807.00,1425.00,Buy at , 135.50
1130807.00,1425.00,Bought at , 135.48
1130807.00,1429.00,Sold, NetProfit, 235.00
1130807.00,1430.00,Buy at , 135.56
1130807.00,1430.00,Bought at , 135.56
1130807.00,1438.00,Sold, NetProfit, 208.00
1130808.00, 930.00,Buy at , 154.50
1130808.00, 932.00,Buy at , 156.65
1130808.00, 932.00,Bought at , 156.65
1130808.00, 933.00,Sold, NetProfit, 259.00
1130808.00, 934.00,Buy at , 156.46
1130808.00, 934.00,Bought at , 156.39
1130808.00, 934.00,Sold, NetProfit, 232.00
1130808.00, 934.00,Buy at , 155.88
1130808.00, 934.00,Bought at , 155.88
1130808.00, 935.00,Sold, NetProfit, 205.00
1130808.00, 935.00,Buy at , 155.60
1130808.00, 935.00,Bought at , 155.60
1130808.00, 935.00,Sold, NetProfit, 178.00
1130808.00, 935.00,Buy at , 155.26
1130808.00, 937.00,Buy at , 152.86
1130808.00, 942.00,Buy at , 150.89
1130808.00, 942.00,Bought at , 150.89
1130808.00, 942.00,Sold, NetProfit, 247.00
1130808.00, 942.00,Buy at , 151.62
1130808.00, 950.00,Buy at , 153.31
1130808.00, 950.00,Buy at , 153.23
1130808.00,1008.00,Buy at , 154.05
1130808.00,1008.00,Bought at , 154.02
1130808.00,1008.00,Sold, NetProfit, 154.00
1130808.00,1008.00,Buy at , 154.05
1130808.00,1018.00,Buy at , 153.56
1130808.00,1018.00,Buy at , 153.61
1130808.00,1018.00,Bought at , 153.61
1130808.00,1018.00,Sold, NetProfit, 105.00
1130808.00,1033.00,Buy at , 152.87
1130808.00,1033.00,Bought at , 152.87
1130808.00,1034.00,Sold, NetProfit,  78.00
1130808.00,1059.00,Buy at , 153.10
1130808.00,1059.00,Bought at , 153.10
1130808.00,1100.00,Sold, NetProfit, 151.00
1130808.00,1102.00,Buy at , 153.92
1130808.00,1102.00,Bought at , 153.92
1130808.00,1105.00,Sold, NetProfit, 124.00
1130808.00,1114.00,Buy at , 153.63
1130808.00,1114.00,Bought at , 153.60
1130808.00,1119.00,Sold, NetProfit, 197.00
1130808.00,1123.00,Buy at , 154.07
1130808.00,1124.00,Bought at , 154.07
1130808.00,1125.00,Sold, NetProfit, 170.00
1130808.00,1204.00,Buy at , 156.41
1130808.00,1205.00,Bought at , 156.35
1130808.00,1208.00,Sold, NetProfit, 243.00
1130808.00,1209.00,Buy at , 157.00
1130808.00,1209.00,Bought at , 157.00
1130808.00,1214.00,Sold, NetProfit, 216.00
1130808.00,1255.00,Buy at , 157.49
1130808.00,1255.00,Bought at , 157.48
1130808.00,1256.00,Sold, NetProfit, 189.00
1130808.00,1313.00,Buy at , 156.86
1130808.00,1319.00,Buy at , 156.29
1130808.00,1319.00,Bought at , 156.29
1130808.00,1322.00,Sold, NetProfit, 262.00
1130808.00,1337.00,Buy at , 157.63
1130808.00,1337.00,Bought at , 157.63
1130808.00,1346.00,Sold, NetProfit, 235.00
1130808.00,1355.00,Buy at , 157.32
1130808.00,1356.00,Bought at , 157.24
1130808.00,1357.00,Sold, NetProfit, 208.00
1130808.00,1359.00,Buy at , 156.86
1130808.00,1359.00,Bought at , 156.82
1130808.00,1407.00,Sold, NetProfit, 281.00
1130808.00,1412.00,Buy at , 156.26
1130808.00,1412.00,Bought at , 156.26
1130808.00,1413.00,Sold, NetProfit, 254.00
1130808.00,1413.00,Buy at , 155.43
1130808.00,1422.00,Buy at , 155.51
1130808.00,1426.00,Buy at , 154.66
1130808.00,1426.00,Bought at , 154.62
1130808.00,1426.00,Sold, NetProfit, 223.00
1130808.00,1427.00,Buy at , 154.45
1130808.00,1427.00,Bought at , 154.45
1130808.00,1429.00,Sold, NetProfit, 296.00
1130808.00,1450.00,Buy at , 153.84
1130808.00,1450.00,Bought at , 153.84
1130808.00,1451.00,Sold, NetProfit, 269.00
1130808.00,1459.00,Buy at , 153.80
1130808.00,1459.00,Bought at , 153.78
1130808.00,1503.00,Sold, NetProfit, 342.00
1130808.00,1517.00,Buy at , 153.30
1130808.00,1517.00,Bought at , 153.30
1130808.00,1526.00,Sold, NetProfit, 415.00
1130809.00,1003.00,Buy at , 153.65
1130809.00,1003.00,Bought at , 153.65
1130809.00,1004.00,Sold, NetProfit, 488.00
1130809.00,1013.00,Buy at , 154.35
1130809.00,1014.00,Bought at , 154.35
1130809.00,1016.00,Sold, NetProfit, 461.00
1130809.00,1128.00,Buy at , 155.05
1130809.00,1128.00,Bought at , 155.03
1130809.00,1133.00,Sold, NetProfit, 434.00
1130809.00,1134.00,Buy at , 154.48
1130809.00,1134.00,Bought at , 154.48
1130809.00,1135.00,Sold, NetProfit, 407.00
1130809.00,1139.00,Buy at , 154.00
1130809.00,1139.00,Bought at , 154.00
1130809.00,1145.00,Sold, NetProfit, 380.00
1130809.00,1152.00,Buy at , 153.26
1130809.00,1212.00,Buy at , 153.29
1130809.00,1212.00,Bought at , 153.29
1130809.00,1213.00,Sold, NetProfit, 371.00
1130809.00,1525.00,Buy at , 153.46
1130809.00,1526.00,Bought at , 153.43
1130809.00,1534.00,Sold, NetProfit, 344.00
1130812.00, 947.00,Buy at , 150.16
1130812.00, 947.00,Bought at , 150.10
1130812.00, 950.00,Sold, NetProfit, 317.00
1130812.00, 959.00,Buy at , 148.70
1130812.00, 959.00,Bought at , 148.68
1130812.00, 959.00,Sold, NetProfit, 290.00
1130812.00,1023.00,Buy at , 147.11
1130812.00,1023.00,Bought at , 147.00
1130812.00,1025.00,Sold, NetProfit, 263.00
1130812.00,1035.00,Buy at , 146.21
1130812.00,1035.00,Bought at , 146.21
1130812.00,1036.00,Sold, NetProfit, 236.00
1130812.00,1105.00,Buy at , 146.34
1130812.00,1105.00,Bought at , 146.34
1130812.00,1108.00,Sold, NetProfit, 309.00
1130812.00,1113.00,Buy at , 146.76
1130812.00,1114.00,Bought at , 146.75
1130812.00,1119.00,Sold, NetProfit, 382.00
1130812.00,1156.00,Buy at , 147.64
1130812.00,1156.00,Bought at , 147.58
1130812.00,1156.00,Sold, NetProfit, 355.00
1130812.00,1301.00,Buy at , 146.30
1130812.00,1302.00,Bought at , 146.30
1130812.00,1310.00,Sold, NetProfit, 328.00
1130812.00,1336.00,Buy at , 145.78
1130812.00,1336.00,Bought at , 145.75
1130812.00,1336.00,Sold, NetProfit, 301.00
1130812.00,1339.00,Buy at , 144.77
1130812.00,1339.00,Bought at , 144.62
1130812.00,1341.00,Sold, NetProfit, 274.00
1130812.00,1509.00,Buy at , 144.60
1130812.00,1509.00,Bought at , 144.60
1130812.00,1527.00,Sold, NetProfit, 347.00
1130813.00, 954.00,Buy at , 146.60
1130813.00, 954.00,Bought at , 146.55
